Nummer,BetrieblicheBezeichnung,Gueltigkeit_BeginnGueltigkeit,E,N,H
ch:1:sloid:93292:0:17069,2,20220101,46.615701467676956,7.03060277736229,0
ch:1:sloid:75473::300602,2,20211212,46.16815436650086,8.78937710149741,0
ch:1:sloid:93647::2,2,20230511,47.09802201052014,6.817830006729069,0
ch:1:sloid:91959:0:1998,1,20230907,46.51635835193511,6.55003752879105,0
ch:1:sloid:91999:0:655,2,20230907,46.51482648602561,6.650740150794947,0
ch:1:sloid:77442:0:01,1,20230210,47.00071001005723,8.592340008496045,0
ch:1:sloid:88650:0:01,1,20230706,47.37130495853276,8.00031306251843,0
ch:1:sloid:72282:0:298989,5,20230427,47.46600365951736,7.848780516522347,0
ch:1:sloid:71985:0:14615,1,20230427,47.32710060798995,7.456603600443331,0
ch:1:sloid:72300:0:4670,2,20230427,47.45953824853111,7.865825365994587,0
ch:1:sloid:70385:0:677411,1,20230426,46.79516464653288,6.748815770204964,0
ch:1:sloid:87035:0:725667,bosy00,20230913,46.279026034567586,6.114579958916283,0
ch:1:sloid:95558:1:1,10,20140711,46.79150786907464,7.6061433160388425,0
ch:1:sloid:82639:0:874376,2,20230427,46.105650091012926,7.074221668158741,0
ch:1:sloid:10914:0:550578,1,20230601,46.57253312424782,7.292609734016233,0
ch:1:sloid:71114:0:836872,1,20230427,46.232557110153124,7.855460492278421,0
ch:1:sloid:6613:0:770235,1,20230426,47.579037876482516,9.209822701105804,0
ch:1:sloid:87769:0:1,1,20220301,47.09322631512398,8.458409491070759,0
ch:1:sloid:72303:0:944124,2,20230427,47.441986204343245,7.9065312625353705,0
ch:1:sloid:91363::80,80,20201213,47.37789937166469,8.49283027208966,0
ch:1:sloid:10551::1,1,20230109,47.115444810123286,8.386878108336717,0
ch:1:sloid:96103:0:820224,1,20230607,46.58537093273808,7.653814289874254,0
ch:1:sloid:87028:0:224809,aivi00,20230913,46.18998931001892,6.043568870939021,0
ch:1:sloid:87032:0:803055,avsy00,20230913,46.1519379555713,5.9937319200442,0
ch:1:sloid:6018:1:2,2,20240103,47.53496695025724,8.7877531555971,0
ch:1:sloid:89290:1:4,4,20200703,47.55185470157362,7.547464394257912,0
ch:1:sloid:87699:0:604805,2,20230427,46.33860239265663,8.009585619551556,0
ch:1:sloid:10938:0:410303,1,20230803,47.345829072176386,9.079802591536605,0
ch:1:sloid:73687::81,81,20220719,47.55725005566687,8.60514759296726,0
ch:1:sloid:92722:0:791451,scha01,20230913,46.273816220921084,6.122809150792438,0
ch:1:sloid:758:0:713057,2,20230426,47.25657348848813,7.129891362695527,0
ch:1:sloid:30406:0:956981,1,20210211,47.020136924487545,8.808958080766399,0
ch:1:sloid:9471:1:2,11,20231012,46.65976616805967,7.545551950103324,0
ch:1:sloid:90014:0:2,2,20190722,46.94058860023283,7.419069193992621,0
ch:1:sloid:3757:0:958914,2,20230426,47.040355688286645,8.781233394219479,0
ch:1:sloid:76131::81,81,20201213,47.393540877421735,8.682011187346674,0
ch:1:sloid:768:0:786799,1,20230426,47.35950345841953,7.6559740131411935,0
ch:1:sloid:760:0:452128,1,20230426,47.257627645658715,7.57688597458534,0
ch:1:sloid:83314:0:43633,1,20230427,46.72561500825161,6.821917530488898,0
ch:1:sloid:91209::10,10,20240223,47.35953254258919,8.507386397546677,0
ch:1:sloid:74521:0:1,1,20200703,46.86664349652111,7.564299796909635,0
ch:1:sloid:96060:0:17841,1,20220101,46.687696860903486,6.908039538392515,0
ch:1:sloid:8376:0:1,Brienz,20240308,46.75372524410769,8.038547378587763,0
ch:1:sloid:78461:0:01,1,20221211,47.390588535595896,9.566223553580365,0
ch:1:sloid:82789::50,50,20240223,47.494419874064285,8.80887715922744,0
ch:1:sloid:1502:2:2,2,20230822,46.149304185875614,7.1728477225346,0
ch:1:sloid:9411:4:6,6,20230822,47.04426218294664,9.44734641946848,0
ch:1:sloid:71988:0:343729,1,20230427,47.426423594491816,7.3356311342754426,0
ch:1:sloid:90491::81,81,20201213,47.24564020696439,8.649559513833982,0
